result,season,matchweek,date,hometeam,awayteam,big_six_ad,promoted_team_ad,position_table_ad,total_pts_ad,npxGD_ma_ad,ip_ad,saa_ad,proba_h,proba_d,proba_a
D,14,2,2014-08-23,aston_villa,newcastle,0,0,5,3,1.001353,0,-2.09,0.3668812973912646,0.29416608529569865,0.33895261731303683
H,14,2,2014-08-23,chelsea,leicester,1,1,4,2,1.093792,10,0.17999999999999972,0.8166948274148432,0.12963409958965766,0.053671072995499
A,14,2,2014-08-23,crystal_palace,west_ham,0,0,1,0,-1.4708290000000002,-3,-1.5500000000000007,0.376330563664945,0.2883000224567707,0.33536941387828434
D,14,2,2014-08-23,everton,arsenal,-1,0,-2,-2,-2.060986,-2,0.9100000000000001,0.36932664950548705,0.28230140450706775,0.3483719459874453
D,14,2,2014-08-23,southampton,west_brom,0,0,-1,-1,0.29020100000000015,-3,-3.09,0.5843927967538977,0.24122356229644912,0.1743836409496533
H,14,2,2014-08-23,swansea,burnley,0,1,5,3,0.8705450000000001,5,-2,0.5839947869020916,0.25221368688830686,0.16379152620960163
D,14,2,2014-08-24,hull,stoke,0,0,3,3,0.47708599999999995,-6,-0.08999999999999986,0.39852398523985233,0.30258302583025826,0.2988929889298893
D,14,2,2014-08-24,sunderland,man_united,-1,0,1,1,-0.8186329999999999,-4,-1.2699999999999996,0.17694066758270374,0.2253451260708457,0.5977142063464504
H,14,2,2014-08-24,tottenham,queens_rangers,1,1,3,3,-0.08418999999999999,3,-3.1000000000000014,0.6083275912983561,0.23319224333103653,0.15848016537060736
H,14,2,2014-08-25,man_city,liverpool,0,0,1,0,0.735507,1,3,0.5300445160212096,0.2445342530272414,0.22542123095154895
D,14,3,2014-08-30,burnley,man_united,-1,-1,-5,-1,-1.4488924856549312,-11,0.370000000000001,0.14339571309197616,0.2318739190423444,0.6247303678656795
A,14,3,2014-08-30,everton,chelsea,-1,0,-7,-4,-1.981664959397812,-4,1.0899999999999999,0.22465327672191263,0.2806556694864009,0.4946910537916865
A,14,3,2014-08-30,man_city,stoke,1,0,11,5,0.29919927357859316,4,0.9100000000000001,0.7972424272896904,0.13734008201208953,0.0654174906982201
D,14,3,2014-08-30,newcastle,crystal_palace,0,0,1,1,0.8958413915364697,6,-0.4499999999999993,0.5834538967875836,0.25069118838955,0.1658549148228664
H,14,3,2014-08-30,queens_rangers,sunderland,0,-1,-8,-2,-0.5769063163310175,-2,1.6400000000000006,0.38170385519367533,0.2979152040536003,0.3203809407527243
H,14,3,2014-08-30,swansea,west_brom,0,0,8,4,-0.3516225393816717,0,-2.3599999999999994,0.48479682484716924,0.27979702462608047,0.2354061505267504
A,14,3,2014-08-30,west_ham,southampton,0,0,6,2,0.3091615170557727,2,2.91,0.2914112832526925,0.2949328697572568,0.41365584699005087
H,14,3,2014-08-31,aston_villa,hull,0,0,-1,0,0.5253551243450565,7,-2.91,0.3877514808536664,0.3094672702081312,0.3027812489382024
D,14,3,2014-08-31,leicester,arsenal,-1,-1,-10,-3,-1.175496975457666,-8,-0.35999999999999943,0.22446767717421273,0.26728167554531596,0.5082506472804713
A,14,3,2014-08-31,tottenham,liverpool,0,0,7,3,0.9802240618991087,-1,-0.10000000000000142,0.35194972897490956,0.27028183606360456,0.37776843496148593
D,14,4,2014-09-13,arsenal,man_city,0,0,-3,-1,0.49297842178437157,-1,-2.8200000000000003,0.3912073325628497,0.29252440182627504,0.3162682656108753
H,14,4,2014-09-13,chelsea,swansea,1,0,1,0,0.991756151310279,6,-0.7199999999999989,0.7502217523081569,0.1712178563630114,0.07856039132883177
D,14,4,2014-09-13,crystal_palace,burnley,0,1,1,0,-0.1274831436175422,2,0.4499999999999993,0.44117098638821556,0.2897631922431475,0.269065821368637
A,14,4,2014-09-13,liverpool,aston_villa,1,0,-2,-1,0.1306622301662528,3,-1.8200000000000003,0.7530576902262149,0.16181404913951727,0.08512826063426777
H,14,4,2014-09-13,southampton,newcastle,0,0,7,2,0.48991530170014264,-3,-1,0.5609142801039625,0.2562924256349698,0.18279329426106783
A,14,4,2014-09-13,stoke,leicester,0,1,5,2,0.7265906908835604,4,1.0899999999999999,0.44983788987838197,0.2762384788548937,0.27392363126672425
D,14,4,2014-09-13,sunderland,tottenham,-1,0,-7,-4,-0.04818728955581228,-3,2.1799999999999997,0.27136832140611644,0.2721242220228466,0.456507456571037
A,14,4,2014-09-13,west_brom,everton,0,0,-1,0,-0.06424517348578529,-2,-2.6400000000000006,0.2687253288892969,0.27631643987487026,0.45495823123583295
H,14,4,2014-09-14,man_united,queens_rangers,1,1,-2,-1,0.6658446723363612,6,-2.5500000000000007,0.7733949741399814,0.1527545283293587,0.07385049753065988
D,14,4,2014-09-15,hull,west_ham,0,0,2,1,-0.2959204189939121,-3,-0.6400000000000006,0.4474611220895266,0.290317037546181,0.26222184036429247
