result,season,matchweek,date,hometeam,awayteam,position_table_home,total_pts_home,npxGD_ma_home,npxGD_var_home,big_six_home,promoted_team_home,position_table_away,total_pts_away,npxGD_ma_away,npxGD_var_away,big_six_away,promoted_team_away,ova_home,att_home,mid_home,def_home,transfer_budget_home,ip_home,saa_home,ova_away,att_away,mid_away,def_away,transfer_budget_away,ip_away,saa_away,proba_h,proba_d,proba_a
D,14,2,2014-08-23,aston_villa,newcastle,0.7692307692307693,1.1903226519331744,0.48640599999999995,0,0,0,0.38461538461538464,-1.031612965008751,-0.5149469999999999,0,0,0,-0.9357143188002232,-1.3636018575707765,-1.6071005033862378,-0.6204320415219923,-0.9665040791390587,0.7894736842105263,-2.2102657453699446,-0.3686147316485723,0.034964150194123834,-0.5586353431750317,-0.06740069531854652,-0.8271599304041806,0.7894736842105263,-0.5340447963707394,0.3668812973912646,0.29416608529569865,0.33895261731303683
H,14,2,2014-08-23,chelsea,leicester,1,1.1903226519331744,1.7588190000000001,0,1,0,0.6923076923076923,-0.2909677593614426,0.665027,0,0,1,1.3326840298063805,0.7342471540765739,1.2761786871945788,1.315177670190068,0.4966094825771619,1,-0.1731359796005762,-2.069913493103525,-1.8297905268257433,-1.6071005033862378,-1.7264947339288839,-1.088430209282077,0.47368421052631576,-0.3174995063086415,0.8166948274148432,0.12963409958965766,0.053671072995499
A,14,2,2014-08-23,crystal_palace,west_ham,0.6153846153846154,-1.031612965008751,-1.3959590000000002,0,0,0,0.5384615384615384,-1.031612965008751,0.07486999999999999,0,0,0,-1.502813905951874,-1.5966961921982599,-1.3449842133334364,-1.449979060827161,-1.1755203022413758,0.47368421052631576,-0.1731359796005762,-0.9357143188002232,-0.4312245190608429,-0.8207516332278333,-1.1734633877254381,-1.088430209282077,0.631578947368421,1.069994389274433,0.376330563664945,0.2883000224567707,0.33536941387828434
D,14,2,2014-08-23,everton,arsenal,0.6923076923076923,-0.2909677593614426,-0.665027,0,0,0,0.8461538461538461,1.1903226519331744,1.3959590000000002,0,1,0,0.19848485550307862,0.034964150194123834,0.22771352698337283,0.4856306508848992,-0.9665040791390587,0.7894736842105263,0.7010653765760427,0.7655844426547295,0.2680584848216072,1.0140623971417775,1.038661997088345,-0.37429144701582656,0.8947368421052632,-0.028772452892510895,0.36932664950548705,0.28230140450706775,0.3483719459874453
D,14,2,2014-08-23,southampton,west_brom,0.6153846153846154,-1.031612965008751,0.2205600000000001,0,0,0,0.6923076923076923,-0.2909677593614426,-0.06964100000000006,0,0,0,-0.6521645252243977,-0.4312245190608429,-0.29651905312223026,-0.8969477146237151,-1.0710121906902172,0.5263157894736842,-1.263882625839293,-0.9357143188002232,-1.8297905268257433,-0.8207516332278333,-1.1734633877254381,-1.1058482278739368,0.6842105263157895,1.2143579159824984,0.5843927967538977,0.24122356229644912,0.1743836409496533
H,14,2,2014-08-23,swansea,burnley,0.8461538461538461,1.1903226519331744,-0.888274,0,0,0,0.46153846153846156,-1.031612965008751,-1.7588190000000001,0,0,1,-0.3686147316485723,0.2680584848216072,-0.8207516332278333,-0.3439163684202694,-1.1406842650576563,0.6842105263157895,-0.6784083230788047,-2.069913493103525,-1.8297905268257433,-2.1313330834918407,-2.0030104070306067,-1.158102283649516,0.42105263157894735,0.9256308625663677,0.5839947869020916,0.25221368688830686,0.16379152620960163
D,14,2,2014-08-24,hull,stoke,0.7692307692307693,1.1903226519331744,-0.009319999999999995,0,0,0,0.5384615384615384,-1.031612965008751,-0.48640599999999995,0,0,0,-1.502813905951874,-1.3636018575707765,-1.6071005033862378,-1.449979060827161,-1.1929383208332356,0.42105263157894735,0.12361126974378152,-0.9357143188002232,-0.4312245190608429,-1.0828679232806349,-0.8969477146237151,-0.8619959675879001,0.7368421052631579,0.19579303309781415,0.39852398523985233,0.30258302583025826,0.2988929889298893
D,14,2,2014-08-24,sunderland,man_united,0.6923076923076923,-0.2909677593614426,0.06964100000000006,0,0,0,0.6153846153846154,-1.031612965008751,0.888274,0,1,0,-0.9357143188002232,-0.8974131883158097,-1.0828679232806349,-0.8969477146237151,-0.8271599304041806,0.7894736842105263,-0.38968126966267413,1.3326840298063805,1.6666244925865075,0.48982981703617434,1.038661997088345,-0.060767112362350696,1,0.62888361322201,0.17694066758270374,0.2253451260708457,0.5977142063464504
H,14,2,2014-08-24,tottenham,queens_rangers,0.7692307692307693,1.1903226519331744,-0.07486999999999999,0,1,0,0.5384615384615384,-1.031612965008751,0.009319999999999995,0,0,1,0.7655844426547295,-0.19813018443335956,0.7519461070889759,0.4856306508848992,-0.4439635213832656,0.8421052631578947,-1.5606298751836507,-0.6521645252243977,-0.19813018443335956,-0.8207516332278333,-0.6204320415219923,-1.0710121906902172,0.6842105263157895,0.9256308625663677,0.6083275912983561,0.23319224333103653,0.15848016537060736
H,14,2,2014-08-25,man_city,liverpool,0.9230769230769231,1.1903226519331744,0.5149469999999999,0,1,0,0.8461538461538461,1.1903226519331744,-0.2205600000000001,0,1,0,1.25972280482366,1.3150108907669351,1.467580156948107,1.2755740616827251,1.6457128812049742,0.9473684210526315,0.7534693059042786,0.6943493159827463,-0.5490134062227413,0.416963489781678,0.4402731754511993,-0.7538684765665556,0.8947368421052632,-1.5336695471536739,0.5300445160212096,0.2445342530272414,0.22542123095154895
