result,season,matchweek,date,hometeam,awayteam,position_table_home,total_pts_home,npxGD_ma_home,npxGD_var_home,big_six_home,promoted_team_home,position_table_away,total_pts_away,npxGD_ma_away,npxGD_var_away,big_six_away,promoted_team_away,ova_home,att_home,mid_home,def_home,transfer_budget_home,ip_home,saa_home,ova_away,att_away,mid_away,def_away,transfer_budget_away,ip_away,saa_away,proba_h,proba_d,proba_a
D,14,2,2014-08-23,aston_villa,newcastle,4,3,0.48640599999999995,0,0,0,9,0,-0.5149469999999999,0,0,0,74,72,71,74,13,16,23.64,76,78,75,76,17,16,25.73,0.3668812973912646,0.29416608529569865,0.33895261731303683
H,14,2,2014-08-23,chelsea,leicester,1,3,1.7588190000000001,0,1,0,5,1,0.665027,0,0,1,82,81,82,81,55,20,26.18,70,70,71,70,9.5,10,26,0.8166948274148432,0.12963409958965766,0.053671072995499
A,14,2,2014-08-23,crystal_palace,west_ham,6,0,-1.3959590000000002,0,0,0,7,0,0.07486999999999999,0,0,0,72,71,72,71,7,10,26.18,74,76,74,72,9.5,13,27.73,0.376330563664945,0.2883000224567707,0.33536941387828434
D,14,2,2014-08-23,everton,arsenal,5,1,-0.665027,0,0,0,3,3,1.3959590000000002,0,1,0,78,78,78,78,13,16,27.27,80,79,81,80,30,18,26.36,0.36932664950548705,0.28230140450706775,0.3483719459874453
D,14,2,2014-08-23,southampton,west_brom,6,0,0.2205600000000001,0,0,0,5,1,-0.06964100000000006,0,0,0,75,76,76,73,10,11,24.82,74,70,74,72,9,14,27.91,0.5843927967538977,0.24122356229644912,0.1743836409496533
H,14,2,2014-08-23,swansea,burnley,3,3,-0.888274,0,0,0,8,0,-1.7588190000000001,0,0,1,76,79,74,75,8,14,25.55,70,70,69,69,7.5,9,27.55,0.5839947869020916,0.25221368688830686,0.16379152620960163
D,14,2,2014-08-24,hull,stoke,4,3,-0.009319999999999995,0,0,0,7,0,-0.48640599999999995,0,0,0,72,72,71,71,6.5,9,26.55,74,76,73,73,16,15,26.64,0.39852398523985233,0.30258302583025826,0.2988929889298893
D,14,2,2014-08-24,sunderland,man_united,5,1,0.06964100000000006,0,0,0,6,0,0.888274,0,1,0,74,74,73,73,17,16,25.91,82,85,79,80,39,20,27.18,0.17694066758270374,0.2253451260708457,0.5977142063464504
H,14,2,2014-08-24,tottenham,queens_rangers,4,3,-0.07486999999999999,0,1,0,7,0,0.009319999999999995,0,0,1,80,77,80,78,28,17,24.45,75,77,74,74,10,14,27.55,0.6083275912983561,0.23319224333103653,0.15848016537060736
H,14,2,2014-08-25,man_city,liverpool,2,3,0.5149469999999999,0,1,0,3,3,-0.2205600000000001,0,1,0,82,84,83,81,90,19,27.55,80,76,79,78,21,18,24.55,0.5300445160212096,0.2445342530272414,0.22542123095154895
D,14,3,2014-08-30,burnley,man_united,17,0,-0.884722612383482,1.424562282112501,0,1,12,1,0.5641698732714491,0.18801079921799996,1,0,70,70,69,69,7.5,9,27.55,82,85,79,80,39,20,27.18,0.14339571309197616,0.2318739190423444,0.6247303678656795
A,14,3,2014-08-30,everton,chelsea,9,2,-0.36801110003760246,0.1600461491444999,0,0,2,6,1.6136538593602094,0.039290492164500104,1,0,78,78,78,78,13,16,27.27,82,81,82,81,55,20,26.18,0.22465327672191263,0.2806556694864009,0.4946910537916865
A,14,3,2014-08-30,man_city,stoke,2,6,0.460461887316922,0.005313361698000002,1,0,13,1,0.16126261373832884,0.7507915514404998,0,0,82,84,83,81,90,19,27.55,74,76,73,73,16,15,26.64,0.7972424272896904,0.13734008201208953,0.0654174906982201
D,14,3,2014-08-30,newcastle,crystal_palace,15,1,-0.14645382927621753,0.24972445904450008,0,0,16,0,-1.0422952208126872,0.22691698179200012,0,0,76,78,75,76,17,16,25.73,72,71,72,71,7,10,26.18,0.5834538967875836,0.25069118838955,0.1658549148228664
H,14,3,2014-08-30,queens_rangers,sunderland,18,0,-0.6894579390719431,0.8739609840499998,0,1,10,2,-0.11255162274092556,0.05941214734050001,0,0,75,77,74,74,10,14,27.55,74,74,73,73,17,16,25.91,0.38170385519367533,0.2979152040536003,0.3203809407527243
