result,season,matchweek,date,hometeam,awayteam,maxo_h,maxo_d,maxo_a,market_tracktake,diff_home,diff_draw,diff_away
D,14,2,2014-08-23,aston_villa,newcastle,2.6,3.4,3.1,0.001313676835498434,0.04336012827382807,-0.008556667836105203,-0.03950681585463034
H,14,2,2014-08-23,chelsea,leicester,1.25,7.5,17.7,-0.01016949152542368,-0.008199451003241709,0.03852961332449012,0.03170604566213653
A,14,2,2014-08-23,crystal_palace,west_ham,2.5,3.3,3.3,0.0060606060606061,0.06709406265772744,0.045764713337193674,-0.11463035300931357
D,14,2,2014-08-23,everton,arsenal,2.8,3.45,2.8,0.0041407867494824835,-0.023895059073544833,0.0068016703534330425,0.019820657470072334
D,14,2,2014-08-23,southampton,west_brom,1.95,3.76,4.75,-0.010695724581502808,-0.09808810044944594,0.08087219192907891,0.2168420209381432
H,14,2,2014-08-23,swansea,burnley,1.7,4.13,6,-0.002967288610359442,0.024532460557573632,-0.05798061723551573,0.0018113035050746351
D,14,2,2014-08-24,hull,stoke,2.55,3.3,3.31,-0.002698030599221246,-0.007852405577885246,0.019085794178628435,-0.008851547163406082
D,14,2,2014-08-24,sunderland,man_united,5,4,1.83,-0.003551912568306115,0.12472014327291703,0.11233759036863922,-0.07927332724022951
H,14,2,2014-08-24,tottenham,queens_rangers,1.5,4.75,8,0.002192982456140413,0.08163232563304224,-0.09390995210275499,-0.17516465582656893
H,14,2,2014-08-25,man_city,liverpool,1.87,4.05,4.43,0.007406572847195925,0.011630152119094017,-0.009189783744337987,-0.017377606498194198
D,14,3,2014-08-30,burnley,man_united,6.5,4.2,1.62,0.009225342558675909,0.11877793315493101,0.011330455376799442,-0.03146874960514523
A,14,3,2014-08-30,everton,chelsea,3.79,3.4,2.25,0.0024143342473312845,0.150584781403869,0.048220235977292525,-0.09574187124430145
A,14,3,2014-08-30,man_city,stoke,1.2,8,21,0.005952380952380931,0.027545776922882403,-0.08234185775742597,-0.16282838801146782
D,14,3,2014-08-30,newcastle,crystal_palace,1.75,3.78,5.75,0.00989187945709702,-0.03284941414273557,0.03614139201015898,0.06093150864104291
H,14,3,2014-08-30,queens_rangers,sunderland,2.5,3.3,3.4,-0.002852049910873289,0.05736660274178074,0.01920892638509697,-0.08620888803396598
H,14,3,2014-08-30,swansea,west_brom,1.91,3.66,4.75,0.007310568929404404,0.07644642035968219,-0.04195511470449764,-0.10756756160567738
A,14,3,2014-08-30,west_ham,southampton,2.9,3.43,2.75,9.139347633357886e-6,0.20101975002452455,-0.03128227290132812,-0.11930993639659815
H,14,3,2014-08-31,aston_villa,hull,2.38,3.3,3.7,-0.006531359472536025,0.08395895218883687,0.0014295813231062215,-0.10898170473720636
D,14,3,2014-08-31,leicester,arsenal,4.8,3.8,1.91,-0.004948562505740828,-0.03624842020627761,-0.03300999203859778,0.03336850579039807
A,14,3,2014-08-31,tottenham,liverpool,2.7,3.5,2.8,0.013227513227513255,0.03542398765631516,0.042209512424508544,-0.06320254728198937
D,14,4,2014-09-13,arsenal,man_city,3.03,3.5,2.5,0.01574728901461575,-0.17341335865682772,-0.03750905316802022,0.24919632913444412
H,14,4,2014-09-13,chelsea,swansea,1.32,5.75,12.04,0.014545279459334148,-0.008605940329451944,0.020292101723915046,0.03795797634803155
D,14,4,2014-09-13,crystal_palace,burnley,2.25,3.35,3.7,0.013222177401281732,-0.0036336511779053726,0.009817361518307699,-0.00461466466564453
A,14,4,2014-09-13,liverpool,aston_villa,1.3,6,11.85,0.0202856215514442,-0.0010379338141303096,0.020898733179816276,-0.030543142520042088
H,14,4,2014-09-13,southampton,newcastle,1.9,3.78,5.06,-0.011505487478027598,-0.024350852367157505,0.011150092430306957,0.05908891042249276
A,14,4,2014-09-13,stoke,leicester,2.15,3.4,4.07,0.004934171828836709,0.03742090383741825,0.05901312311487805,-0.12096450250775292
