name_team,id,ova,att,mid,def,transfer_budget,speed,dribbling,passing,positioning,crossing,shooting,aggression,pressure,team_width,defender_line,dp,ip,players,saa,taa,date,fifa,year_week
chelsea,5,82,81,82,81,55,fast,normal,normal,organised,normal,lots,press,medium,normal,cover,20,20,33,26.18,24.03,2014-09-19,FIFA14,2014-W38
manchester_city,10,82,84,83,81,90,balanced,normal,safe,organised,normal,normal,press,medium,normal,cover,18,19,33,27.55,24.42,2014-09-19,FIFA14,2014-W38
manchester_united,11,82,85,79,80,39,balanced,normal,normal,organised,lots,normal,press,medium,normal,cover,20,20,33,27.18,24,2014-09-19,FIFA14,2014-W38
arsenal,1,80,79,81,80,30,balanced,normal,safe,free_form,normal,normal,press,medium,normal,cover,18,18,33,26.36,24,2014-09-19,FIFA14,2014-W38
liverpool,9,80,76,79,78,21,fast,normal,normal,organised,normal,normal,press,medium,normal,cover,17,18,33,24.55,22.85,2014-09-19,FIFA14,2014-W38
tottenham_hotspur,18,80,77,80,78,28,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,17,17,33,24.45,23.39,2014-09-19,FIFA14,2014-W38
everton,7,78,78,78,78,13,balanced,normal,normal,organised,normal,normal,press,medium,normal,cover,14,16,33,27.27,24.06,2014-09-19,FIFA14,2014-W38
newcastle_united,13,76,78,75,76,17,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,25.73,23.33,2014-09-19,FIFA14,2014-W38
swansea_city,1960,76,79,74,75,8,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,10,14,33,25.55,24.15,2014-09-19,FIFA14,2014-W38
southampton,17,75,76,76,73,10,balanced,normal,normal,free_form,normal,normal,press,medium,normal,cover,11,11,33,24.82,22.24,2014-09-19,FIFA14,2014-W38
fulham,144,75,71,74,72,15,balanced,normal,normal,organised,normal,normal,contain,deep,normal,cover,13,16,33,27.09,25.76,2014-09-19,FIFA14,2014-W38
norwich_city,1792,74,74,74,74,7.5,balanced,little,normal,organised,lots,normal,press,medium,normal,cover,10,14,33,26.09,25.18,2014-09-19,FIFA14,2014-W38
aston_villa,2,74,72,71,74,13,balanced,little,normal,organised,normal,normal,press,medium,normal,cover,15,16,33,23.64,23.24,2014-09-19,FIFA14,2014-W38
