date,team_name,npxGD,xi,mean_value
2014-08-16,Arsenal,1.3959590000000002,wmean_inf,1.3959590000000002
2014-08-16,Arsenal,1.3959590000000002,wmean_05,1.3959590000000002
2014-08-16,Arsenal,1.3959590000000002,wmean_01,1.3959590000000002
2014-08-16,Arsenal,1.3959590000000002,wmean_005,1.3959590000000002
2014-08-16,Arsenal,1.3959590000000002,wmean_0,1.3959590000000002
2014-08-23,Arsenal,0.09926000000000013,wmean_inf,0.35859980000000014
2014-08-23,Arsenal,0.09926000000000013,wmean_05,0.5888166076898865
2014-08-23,Arsenal,0.09926000000000013,wmean_01,0.7152190125752457
2014-08-23,Arsenal,0.09926000000000013,wmean_005,0.7314041384763208
2014-08-23,Arsenal,0.09926000000000013,wmean_0,0.7476094999675826
2014-08-31,Arsenal,1.4867469999999998,wmean_inf,1.3761443333333332
2014-08-31,Arsenal,1.4867469999999998,wmean_05,1.0596182978265072
2014-08-31,Arsenal,1.4867469999999998,wmean_01,1.0010631974694326
2014-08-31,Arsenal,1.4867469999999998,wmean_005,0.9971026964555573
2014-08-31,Arsenal,1.4867469999999998,wmean_0,0.9939886666720394
2014-09-13,Arsenal,-0.23029999999999973,wmean_inf,-0.19571635246939612
2014-09-13,Arsenal,-0.23029999999999973,wmean_05,0.32402828170383063
2014-09-13,Arsenal,-0.23029999999999973,wmean_01,0.6212061700210193
2014-09-13,Arsenal,-0.23029999999999973,wmean_005,0.6552803878631268
2014-09-13,Arsenal,-0.23029999999999973,wmean_0,0.6879164999362566
2014-09-20,Arsenal,0.7132269999999999,wmean_inf,0.613036845430858
2014-09-20,Arsenal,0.7132269999999999,wmean_05,0.5126299221570725
2014-09-20,Arsenal,0.7132269999999999,wmean_01,0.6446022950821553
2014-09-20,Arsenal,0.7132269999999999,wmean_005,0.6684034293909433
2014-09-20,Arsenal,0.7132269999999999,wmean_0,0.6929785999503069
2014-09-27,Arsenal,0.5911649999999999,wmean_inf,0.5937878201849092
2014-09-27,Arsenal,0.5911649999999999,wmean_05,0.5475090112505513
2014-09-27,Arsenal,0.5911649999999999,wmean_01,0.6328806987973006
2014-09-27,Arsenal,0.5911649999999999,wmean_005,0.6535507010690633
2014-09-27,Arsenal,0.5911649999999999,wmean_0,0.6760096666202055
2014-10-05,Arsenal,-0.31075800000000003,wmean_inf,-0.22710275505121788
2014-10-05,Arsenal,-0.31075800000000003,wmean_05,0.16967426327820403
2014-10-05,Arsenal,-0.31075800000000003,wmean_01,0.446631219614016
2014-10-05,Arsenal,-0.31075800000000003,wmean_005,0.49042532293341484
2014-10-05,Arsenal,-0.31075800000000003,wmean_0,0.5350428570532634
2014-10-18,Arsenal,1.596388,wmean_inf,1.5573193063996338
