date,hometeam,awayteam,fthg,ftag,ftr,referee,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,psch,pscd,psca,season
17/08/13,Arsenal,Aston Villa,1,3,A,A Taylor,1.44,4.75,8,1.36,5,7.75,1.37,4.6,7.5,1.41,5.2,8.3,1.36,4.8,8.5,1.44,4.8,7.5,1.44,5,8.05,13
17/08/13,Liverpool,Stoke,1,0,H,M Atkinson,1.4,5,9.5,1.4,4.33,8.25,1.4,4.4,7.3,1.41,4.88,9.35,1.36,4.6,9,1.4,5,9.5,1.42,4.62,10.19,13
17/08/13,Norwich,Everton,2,2,D,M Oliver,3.2,3.4,2.4,3.1,3.25,2.3,2.9,3.3,2.3,3.32,3.41,2.35,3.1,3.3,2.3,3.12,3.4,2.4,3.81,3.27,2.21,13
17/08/13,Sunderland,Fulham,0,1,A,N Swarbrick,2.3,3.4,3.4,2.25,3.2,3.25,2.2,3.2,3.2,2.25,3.37,3.58,2.2,3.3,3.3,2.3,3.4,3.3,2.52,3.23,3.16,13
17/08/13,Swansea,Man United,1,4,A,P Dowd,4.2,3.5,2,4.1,3.5,1.87,4.2,3.5,1.8,4.1,3.52,2.03,4,3.4,1.91,3.8,3.6,2.05,3.62,3.41,2.22,13
17/08/13,West Brom,Southampton,0,1,A,K Friend,2.4,3.4,3.2,2.3,3.25,3.1,2.2,3.3,3.1,2.42,3.38,3.21,2.25,3.3,3.2,2.4,3.4,3.12,2.56,3.3,3.06,13
17/08/13,West Ham,Cardiff,2,0,H,H Webb,2,3.6,4,1.91,3.4,4,1.9,3.45,3.8,1.99,3.57,4.21,1.95,3.5,3.8,2,3.6,4,2.17,3.36,3.84,13
18/08/13,Chelsea,Hull,2,0,H,J Moss,1.2,7,21,1.19,6.25,15,1.2,5.8,13,1.2,7.4,19.5,1.2,6,15,1.22,6.5,15,1.23,6.8,16.25,13
18/08/13,Crystal Palace,Tottenham,0,1,A,M Clattenburg,4.75,3.75,1.83,4.75,3.7,1.72,4.2,3.5,1.8,5.16,3.69,1.8,4.75,3.6,1.75,4.5,3.75,1.85,6.73,3.88,1.63,13
19/08/13,Man City,Newcastle,4,0,H,A Marriner,1.33,5.5,11,1.3,5.25,9.75,1.3,5,9,1.31,5.86,11.66,1.29,5.5,10,1.33,5.5,10.5,1.26,6.41,14.02,13
