hometeam,awayteam,season,type,first_odd,last_odd,diff
Arsenal,Aston Villa,13,home,1.4410333642261353,1.4668819875776395,0.01793756063752583
Arsenal,Aston Villa,13,draw,5.314449286507734,5.093340234644582,-0.04160526141899601
Arsenal,Aston Villa,13,away,8.482678668848882,8.200277777777778,-0.03329147573491975
Liverpool,Stoke,13,home,1.4397365652669414,1.4467116135418392,0.004844669811941982
Liverpool,Stoke,13,draw,4.982918041491258,4.706906798988237,-0.05539148751891121
Liverpool,Stoke,13,away,9.547189280316243,10.381684043655873,0.08740737601800097
Norwich,Everton,13,home,3.386372995569975,3.8891195151313873,0.14846164915061077
Norwich,Everton,13,draw,3.4781722635221737,3.3379057255852063,-0.040327656973184633
Norwich,Everton,13,away,2.3969808854185066,2.255893472031592,-0.05886046661664601
Sunderland,Fulham,13,home,2.2961474064618805,2.577654112944311,0.1225995794913719
Sunderland,Fulham,13,draw,3.4391185599006833,3.3038979304802085,-0.039318397160573504
Sunderland,Fulham,13,away,3.6534256511704584,3.2322964273428667,-0.115269684957917
Swansea,Man United,13,home,4.184477160770264,3.6922142083432408,-0.11764025313413573
Swansea,Man United,13,draw,3.5925267331491053,3.4780249863122794,-0.03187220453512307
Swansea,Man United,13,away,2.0718264966740576,2.2642860614701643,0.09289366899451545
West Brom,Southampton,13,home,2.4698704123578312,2.612358882947118,0.057690666634312215
West Brom,Southampton,13,draw,3.4496537164336654,3.367493872549019,-0.02381683804761292
West Brom,Southampton,13,away,3.27615042300357,3.1225852272727272,-0.04687367058990355
West Ham,Cardiff,13,home,2.0301070546983637,2.2109375,0.08907433964289346
West Ham,Cardiff,13,draw,3.641950846870934,3.423387096774194,-0.060012822601525184
West Ham,Cardiff,13,away,4.2948495981307095,3.9124423963133643,-0.08903855492024315
Chelsea,Hull,13,home,1.2237006237006236,1.2565746606334842,0.026864444044692348
Chelsea,Hull,13,draw,7.546153846153846,6.9469168230143845,-0.07940959531919467
Chelsea,Hull,13,away,19.885135135135133,16.60108799617408,-0.16515085850025002
Crystal Palace,Tottenham,13,home,5.265040650406505,6.863370438302447,0.30357406410006327
Crystal Palace,Tottenham,13,draw,3.7651162790697676,3.9568911293630746,0.05093464214090293
Crystal Palace,Tottenham,13,away,1.8366420873511062,1.6623022012530442,-0.09492316837272496
