date,season,match_name,books,track_take
17/08/13,13,Arsenal-Aston Villa,bet365,0.029970760233918092
17/08/13,13,Arsenal-Aston Villa,bwin,0.06432637571157507
17/08/13,13,Arsenal-Aston Villa,interwetten,0.08065164498042954
17/08/13,13,Arsenal-Aston Villa,pinnacle,0.022009478174564112
17/08/13,13,Arsenal-Aston Villa,williamhill,0.06127450980392157
17/08/13,13,Arsenal-Aston Villa,vcbet,0.036111111111111205
17/08/13,13,Liverpool-Stoke,bet365,0.019548872180451315
17/08/13,13,Liverpool-Stoke,bwin,0.06644471771492544
17/08/13,13,Liverpool-Stoke,interwetten,0.0785447429283046
17/08/13,13,Liverpool-Stoke,pinnacle,0.02108976260066764
17/08/13,13,Liverpool-Stoke,williamhill,0.06379653310599598
17/08/13,13,Liverpool-Stoke,vcbet,0.019548872180451315
17/08/13,13,Norwich-Everton,bet365,0.023284313725490335
17/08/13,13,Norwich-Everton,bwin,0.0650555615492503
17/08/13,13,Norwich-Everton,interwetten,0.08264049793285189
17/08/13,13,Norwich-Everton,pinnacle,0.01999186613553472
17/08/13,13,Norwich-Everton,williamhill,0.06039355688724557
17/08/13,13,Norwich-Everton,vcbet,0.03129713423831082
17/08/13,13,Sunderland-Fulham,bet365,0.023017902813299296
17/08/13,13,Sunderland-Fulham,bwin,0.06463675213675213
17/08/13,13,Sunderland-Fulham,interwetten,0.07954545454545459
17/08/13,13,Sunderland-Fulham,pinnacle,0.02050995842750236
17/08/13,13,Sunderland-Fulham,williamhill,0.06060606060606055
17/08/13,13,Sunderland-Fulham,vcbet,0.031930558784778684
17/08/13,13,Swansea-Man United,bet365,0.023809523809523725
17/08/13,13,Swansea-Man United,bwin,0.06437608302744602
17/08/13,13,Swansea-Man United,interwetten,0.0793650793650793
17/08/13,13,Swansea-Man United,pinnacle,0.02060418555372312
17/08/13,13,Swansea-Man United,williamhill,0.06767785648290747
17/08/13,13,Swansea-Man United,vcbet,0.028740550563400413
17/08/13,13,West Brom-Southampton,bet365,0.023284313725490335
17/08/13,13,West Brom-Southampton,bwin,0.0650555615492503
17/08/13,13,West Brom-Southampton,interwetten,0.08015640273704783
17/08/13,13,West Brom-Southampton,pinnacle,0.020607608412327005
17/08/13,13,West Brom-Southampton,williamhill,0.0599747474747474
17/08/13,13,West Brom-Southampton,vcbet,0.0312971342383106
17/08/13,13,West Ham-Cardiff,bet365,0.02777777777777768
17/08/13,13,West Ham-Cardiff,bwin,0.06767785648290725
17/08/13,13,West Ham-Cardiff,interwetten,0.0793287566742944
17/08/13,13,West Ham-Cardiff,pinnacle,0.02015429884339892
17/08/13,13,West Ham-Cardiff,williamhill,0.06169269327164062
17/08/13,13,West Ham-Cardiff,vcbet,0.02777777777777768
18/08/13,13,Chelsea-Hull,bet365,0.023809523809523947
18/08/13,13,Chelsea-Hull,bwin,0.06700280112044821
18/08/13,13,Chelsea-Hull,interwetten,0.08267020335985853
18/08/13,13,Chelsea-Hull,pinnacle,0.01975051975051967
18/08/13,13,Chelsea-Hull,williamhill,0.06666666666666665
18/08/13,13,Chelsea-Hull,vcbet,0.04018495166036162
18/08/13,13,Crystal Palace-Tottenham,bet365,0.02364106988783421
18/08/13,13,Crystal Palace-Tottenham,bwin,0.062191934896953294
18/08/13,13,Crystal Palace-Tottenham,interwetten,0.0793650793650793
18/08/13,13,Crystal Palace-Tottenham,pinnacle,0.020356715195058994
18/08/13,13,Crystal Palace-Tottenham,williamhill,0.05973266499582275
18/08/13,13,Crystal Palace-Tottenham,vcbet,0.029429429429429277
19/08/13,13,Man City-Newcastle,bet365,0.024606971975392966
19/08/13,13,Man City-Newcastle,bwin,0.06227106227106227
19/08/13,13,Man City-Newcastle,interwetten,0.08034188034188028
19/08/13,13,Man City-Newcastle,pinnacle,0.01977053610023982
19/08/13,13,Man City-Newcastle,williamhill,0.05701198026779419
19/08/13,13,Man City-Newcastle,vcbet,0.02893597630439748
21/08/13,13,Chelsea-Aston Villa,bet365,0.05701198026779419
21/08/13,13,Chelsea-Aston Villa,bwin,0.07172619047619055
21/08/13,13,Chelsea-Aston Villa,interwetten,0.08034188034188028
21/08/13,13,Chelsea-Aston Villa,pinnacle,0.02304366960314219
21/08/13,13,Chelsea-Aston Villa,williamhill,0.05631210894368799
21/08/13,13,Chelsea-Aston Villa,vcbet,0.03244017526120646
24/08/13,13,Aston Villa-Liverpool,bet365,0.029487179487179382
24/08/13,13,Aston Villa-Liverpool,bwin,0.06449588193870381
24/08/13,13,Aston Villa-Liverpool,interwetten,0.08080808080808088
24/08/13,13,Aston Villa-Liverpool,pinnacle,0.018465770530797787
24/08/13,13,Aston Villa-Liverpool,williamhill,0.057264957264957506
24/08/13,13,Aston Villa-Liverpool,vcbet,0.03238866396761142
24/08/13,13,Everton-West Brom,bet365,0.021735711222479637
24/08/13,13,Everton-West Brom,bwin,0.06416387693288694
24/08/13,13,Everton-West Brom,interwetten,0.08014297530426573
24/08/13,13,Everton-West Brom,pinnacle,0.018761524893450954
24/08/13,13,Everton-West Brom,williamhill,0.06182795698924726
24/08/13,13,Everton-West Brom,vcbet,0.029761904761904878
24/08/13,13,Fulham-Arsenal,bet365,0.025062656641603898
24/08/13,13,Fulham-Arsenal,bwin,0.06349206349206349
24/08/13,13,Fulham-Arsenal,interwetten,0.08225108225108224
24/08/13,13,Fulham-Arsenal,pinnacle,0.019083447283934962
24/08/13,13,Fulham-Arsenal,williamhill,0.056022408963585235
24/08/13,13,Fulham-Arsenal,vcbet,0.03654485049833878
24/08/13,13,Hull-Norwich,bet365,0.02486155752623631
24/08/13,13,Hull-Norwich,bwin,0.06334202520643206
24/08/13,13,Hull-Norwich,interwetten,0.08333333333333348
24/08/13,13,Hull-Norwich,pinnacle,0.02141403009291154
24/08/13,13,Hull-Norwich,williamhill,0.06182795698924726
24/08/13,13,Hull-Norwich,vcbet,0.0302729528535981
24/08/13,13,Newcastle-West Ham,bet365,0.023017902813299296
24/08/13,13,Newcastle-West Ham,bwin,0.06463675213675213
24/08/13,13,Newcastle-West Ham,interwetten,0.08225108225108224
24/08/13,13,Newcastle-West Ham,pinnacle,0.020273211924065837
24/08/13,13,Newcastle-West Ham,williamhill,0.06060606060606055
24/08/13,13,Newcastle-West Ham,vcbet,0.031930558784778684
24/08/13,13,Southampton-Sunderland,bet365,0.023010758635948925
24/08/13,13,Southampton-Sunderland,bwin,0.06921850079744818
24/08/13,13,Southampton-Sunderland,interwetten,0.08039561300430864
24/08/13,13,Southampton-Sunderland,pinnacle,0.02414786748611064
24/08/13,13,Southampton-Sunderland,williamhill,0.05839835480554045
24/08/13,13,Southampton-Sunderland,vcbet,0.049206349206349254
24/08/13,13,Stoke-Crystal Palace,bet365,0.024225865209471786
24/08/13,13,Stoke-Crystal Palace,bwin,0.06706450696220534
24/08/13,13,Stoke-Crystal Palace,interwetten,0.0793650793650793
24/08/13,13,Stoke-Crystal Palace,pinnacle,0.020257240197433024
24/08/13,13,Stoke-Crystal Palace,williamhill,0.06096214791866972
24/08/13,13,Stoke-Crystal Palace,vcbet,0.03458815958815942
25/08/13,13,Cardiff-Man City,bet365,0.02261781905744753
25/08/13,13,Cardiff-Man City,bwin,0.06353271142003547
25/08/13,13,Cardiff-Man City,interwetten,0.08251231527093594
25/08/13,13,Cardiff-Man City,pinnacle,0.020614268195734864
25/08/13,13,Cardiff-Man City,williamhill,0.06984126984126982
25/08/13,13,Cardiff-Man City,vcbet,0.033514821536600126
25/08/13,13,Tottenham-Swansea,bet365,0.02113010446343777
25/08/13,13,Tottenham-Swansea,bwin,0.06360934182590228
25/08/13,13,Tottenham-Swansea,interwetten,0.0806010928961749
25/08/13,13,Tottenham-Swansea,pinnacle,0.019847462782453862
25/08/13,13,Tottenham-Swansea,williamhill,0.056060606060606144
25/08/13,13,Tottenham-Swansea,vcbet,0.029973649538866942
26/08/13,13,Man United-Chelsea,bet365,0.02486155752623631
26/08/13,13,Man United-Chelsea,bwin,0.06223358908780896
26/08/13,13,Man United-Chelsea,interwetten,0.07954545454545459
26/08/13,13,Man United-Chelsea,pinnacle,0.019251919166467513
26/08/13,13,Man United-Chelsea,williamhill,0.059523809523809534
26/08/13,13,Man United-Chelsea,vcbet,0.030541871921182295
31/08/13,13,Cardiff-Everton,bet365,0.021978021978022122
31/08/13,13,Cardiff-Everton,bwin,0.0650555615492503
31/08/13,13,Cardiff-Everton,interwetten,0.08015640273704783
31/08/13,13,Cardiff-Everton,pinnacle,0.0207486912569097
31/08/13,13,Cardiff-Everton,williamhill,0.0599747474747474
31/08/13,13,Cardiff-Everton,vcbet,0.021978021978022122
31/08/13,13,Crystal Palace-Sunderland,bet365,0.020979020979020824
31/08/13,13,Crystal Palace-Sunderland,bwin,0.06348553407376945
31/08/13,13,Crystal Palace-Sunderland,interwetten,0.08004385964912286
31/08/13,13,Crystal Palace-Sunderland,pinnacle,0.019440186496208156
31/08/13,13,Crystal Palace-Sunderland,williamhill,0.06068315920532674
31/08/13,13,Crystal Palace-Sunderland,vcbet,0.02564102564102555
31/08/13,13,Man City-Hull,bet365,0.024979492471752573
31/08/13,13,Man City-Hull,bwin,0.06451612903225801
31/08/13,13,Man City-Hull,interwetten,0.08267020335985853
31/08/13,13,Man City-Hull,pinnacle,0.018535557146560855
31/08/13,13,Man City-Hull,williamhill,0.056381526969762286
31/08/13,13,Man City-Hull,vcbet,0.025089206066012615
31/08/13,13,Newcastle-Fulham,bet365,0.025900592795257582
31/08/13,13,Newcastle-Fulham,bwin,0.06861295885686136
31/08/13,13,Newcastle-Fulham,interwetten,0.08225108225108224
31/08/13,13,Newcastle-Fulham,pinnacle,0.019745745104474022
31/08/13,13,Newcastle-Fulham,williamhill,0.059233449477352096
31/08/13,13,Newcastle-Fulham,vcbet,0.02860834256183109
31/08/13,13,Norwich-Southampton,bet365,0.028520499108734443
31/08/13,13,Norwich-Southampton,bwin,0.06673276598088629
31/08/13,13,Norwich-Southampton,interwetten,0.08173076923076916
31/08/13,13,Norwich-Southampton,pinnacle,0.02056176530352971
31/08/13,13,Norwich-Southampton,williamhill,0.06017316017316032
31/08/13,13,Norwich-Southampton,vcbet,0.02356061788110475
31/08/13,13,West Ham-Stoke,bet365,0.02506452927591374
31/08/13,13,West Ham-Stoke,bwin,0.06568475154862585
31/08/13,13,West Ham-Stoke,interwetten,0.0793287566742944
31/08/13,13,West Ham-Stoke,pinnacle,0.02084412076544262
31/08/13,13,West Ham-Stoke,williamhill,0.05693815987933637
31/08/13,13,West Ham-Stoke,vcbet,0.029481680751888728
01/09/13,13,Arsenal-Tottenham,bet365,0.02423852423852413
01/09/13,13,Arsenal-Tottenham,bwin,0.06349206349206349
01/09/13,13,Arsenal-Tottenham,interwetten,0.0798319327731094
01/09/13,13,Arsenal-Tottenham,pinnacle,0.019477458430946726
01/09/13,13,Arsenal-Tottenham,williamhill,0.06493506493506507
01/09/13,13,Arsenal-Tottenham,vcbet,0.03217503217503204
01/09/13,13,Liverpool-Man United,bet365,0.021568006163175113
01/09/13,13,Liverpool-Man United,bwin,0.06500417821172544
01/09/13,13,Liverpool-Man United,interwetten,0.08173076923076916
01/09/13,13,Liverpool-Man United,pinnacle,0.019289903518091345
01/09/13,13,Liverpool-Man United,williamhill,0.05425824175824179
01/09/13,13,Liverpool-Man United,vcbet,0.023019258594022762
01/09/13,13,West Brom-Swansea,bet365,0.02163087457205104
01/09/13,13,West Brom-Swansea,bwin,0.06363300036995945
01/09/13,13,West Brom-Swansea,interwetten,0.08264049793285189
01/09/13,13,West Brom-Swansea,pinnacle,0.019859130389195512
01/09/13,13,West Brom-Swansea,williamhill,0.05775401069518704
01/09/13,13,West Brom-Swansea,vcbet,0.02812438106555737
14/09/13,13,Aston Villa-Newcastle,bet365,0.02239182086543301
14/09/13,13,Aston Villa-Newcastle,bwin,0.06493506493506507
14/09/13,13,Aston Villa-Newcastle,interwetten,0.08015640273704783
14/09/13,13,Aston Villa-Newcastle,pinnacle,0.019868762108578908
14/09/13,13,Aston Villa-Newcastle,williamhill,0.06284038542103065
14/09/13,13,Aston Villa-Newcastle,vcbet,0.037011703906368876
14/09/13,13,Everton-Chelsea,bet365,0.022679864982743547
14/09/13,13,Everton-Chelsea,bwin,0.04278074866310155
14/09/13,13,Everton-Chelsea,interwetten,0.08080808080808088
14/09/13,13,Everton-Chelsea,pinnacle,0.020078427560201506
14/09/13,13,Everton-Chelsea,williamhill,0.033364958886780594
