psh_dscrt_level,type,variance
1,home,6.141403182096304e-4
1,draw,7.007207636282777e-4
1,away,0.0019041769238219788
2,home,0.0019286642093220938
2,draw,9.571458167942165e-4
2,away,0.005384532370897462
3,home,0.0022215322233731477
3,draw,0.0010062609598496066
3,away,0.005351216623418346
4,home,0.004224346099775952
4,draw,0.001359654199504026
4,away,0.005580359558728098
5,home,0.0038302854839595683
5,draw,0.0018587068123364534
5,away,0.006211790097324774
6,home,0.003942848202229567
6,draw,0.003090363934812002
6,away,0.007456071946297671
7,home,0.005778975647770048
7,draw,0.0033021517726981578
7,away,0.008137714842436701
8,home,0.007725239777070779
8,draw,0.004934035612970188
8,away,0.009299336650810274
9,home,0.01211207085833376
9,draw,0.00861377536477779
9,away,0.015961510595363635
10,home,0.01681774307194135
10,draw,0.013344955730787316
10,away,0.01819263922800245
