date,hometeam,awayteam,fthg,ftag,ftr,referee,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,psch,pscd,psca,season
13/08/16,Burnley,Swansea,0,1,A,J Moss,10,17,3,9,10,14,7,4,3,2,0,0,2.4,3.3,3.25,2.45,3.1,2.95,2.5,3.3,2.65,2.47,3.32,3.19,2.5,3.2,2.9,2.5,3.2,3.25,2.79,3.16,2.89,16
13/08/16,Crystal Palace,West Brom,0,1,A,C Pawson,14,13,4,3,12,15,3,6,2,2,0,0,2.0,3.3,4.5,2.0,3.2,3.9,2.1,3.3,3.3,2.06,3.29,4.32,2.05,3.1,4.0,2.0,3.3,4.4,2.25,3.15,3.86,16
13/08/16,Everton,Tottenham,1,1,D,M Atkinson,12,13,6,4,10,14,5,6,0,0,0,0,3.2,3.4,2.4,2.95,3.2,2.4,2.65,3.3,2.5,3.25,3.43,2.37,3.1,3.1,2.4,3.25,3.4,2.38,3.64,3.54,2.16,16
13/08/16,Hull,Leicester,2,1,H,M Dean,14,18,5,5,8,17,5,3,2,2,0,0,4.5,3.6,1.91,4.33,3.4,1.9,3.3,3.3,2.1,4.43,3.55,1.95,4.2,3.25,1.95,4.4,3.5,1.95,4.68,3.5,1.92,16
13/08/16,Man City,Sunderland,2,1,H,R Madley,16,7,4,3,11,14,9,6,1,2,0,0,1.25,6.5,15.0,1.22,6.0,11.5,1.25,5.5,10.3,1.27,6.48,13.15,1.25,5.5,13.0,1.25,6.5,15.0,1.25,6.5,14.5,16
13/08/16,Middlesbrough,Stoke,1,1,D,K Friend,12,12,2,1,18,14,9,6,3,5,0,0,2.38,3.2,3.4,2.25,3.1,3.25,2.3,3.3,2.9,2.33,3.24,3.53,2.4,3.1,3.1,2.38,3.2,3.4,2.2,3.38,3.7,16
13/08/16,Southampton,Watford,1,1,D,R East,24,5,6,1,8,12,6,2,1,2,0,1,1.8,3.75,5.0,1.8,3.4,4.5,1.8,3.5,4.2,1.88,3.68,4.64,1.83,3.4,4.5,1.83,3.6,5.0,1.8,3.83,4.91,16
14/08/16,Arsenal,Liverpool,3,4,A,M Oliver,9,16,5,7,13,17,5,4,3,3,0,0,2.4,3.5,3.1,2.35,3.3,2.9,2.3,3.3,2.9,2.41,3.53,3.1,2.5,3.1,3.0,2.4,3.5,3.1,2.8,3.44,2.68,16
14/08/16,Bournemouth,Man United,1,3,A,A Marriner,9,11,3,7,7,10,4,2,0,1,0,0,4.75,3.6,1.85,4.6,3.5,1.75,4.5,3.5,1.75,4.7,3.62,1.88,4.5,3.4,1.85,4.75,3.6,1.87,5.4,3.65,1.78,16
15/08/16,Chelsea,West Ham,2,1,H,A Taylor,16,7,6,3,16,16,7,1,5,2,0,0,1.65,4.0,6.0,1.6,3.75,5.5,1.65,3.6,5.1,1.68,4.16,5.48,1.67,3.6,5.5,1.65,4.1,5.75,1.52,4.38,7.45,16
